Iteration	Cost
0	11.1608505478
1	11.1591276574
2	11.1574060712
3	11.1556860356
4	11.1539674174
5	11.1522501507
6	11.1505344359
7	11.1488200365
8	11.1471068485
9	11.1453952369
10	11.1436850678
11	11.1419763227
12	11.1402689781
13	11.1385631134
14	11.1368586853
15	11.1351555549
16	11.133453922
17	11.1317536537
18	11.1300547471
19	11.128357347
20	11.126661325
21	11.1249666236
22	11.1232733202
23	11.1215812391
24	11.1198906967
25	11.1182014348
26	11.1165135642
27	11.1148270721
28	11.1131422431
29	11.1114586361
30	11.1097762807
31	11.1080955181
32	11.1064160338
33	11.1047378764
34	11.1030611764
35	11.1013857456
36	11.0997117764
37	11.0980392445
38	11.0963679146
39	11.0946980115
40	11.0930294874
41	11.0913623409
42	11.089696524
43	11.0880321858
44	11.0863692172
45	11.0847075752
46	11.0830471706
47	11.08138821
48	11.0797305568
49	11.0780743256
50	11.0764193953
51	11.0747658989
52	11.0731137324
53	11.0714628324
54	11.0698133821
55	11.0681652579
56	11.0665185273
57	11.0648730504
58	11.0632288755
59	11.0615859736
60	11.0599444742
61	11.0583042663
62	11.0566653458
63	11.0550279301
64	11.0533917502
65	11.0517570472
66	11.0501236192
67	11.0484914185
68	11.0468606049
69	11.0452311996
70	11.0436030277
71	11.0419762152
72	11.0403507467
73	11.0387265095
74	11.0371036752
75	11.0354820466
76	11.0338616001
77	11.0322424937
78	11.0306249914
79	11.0290086384
80	11.0273935458
81	11.0257798664
82	11.0241673938
83	11.0225563196
84	11.0209465895
85	11.0193381057
86	11.0177308191
87	11.0161247556
88	11.0145200149
89	11.0129166514
90	11.0113147724
91	11.0097140599
92	11.0081146658
93	11.0065164758
94	11.0049196374
95	11.0033238973
96	11.0017295888
97	11.0001366227
98	10.9985448845
99	10.9969545792
100	10.9953654184
101	10.9937775783
102	10.9921909428
103	10.9906056948
104	10.9890216459
105	10.9874389437
106	10.9858573836
107	10.9842771534
108	10.9826981629
109	10.9811204393
110	10.9795440889
111	10.9779689333
112	10.9763950582
113	10.9748223779
114	10.9732508028
115	10.9716807046
116	10.9701118009
117	10.9685442548
118	10.9669778193
119	10.9654128005
120	10.9638488621
121	10.9622863661
122	10.9607249492
123	10.9591648733
124	10.9576060379
125	10.9560483906
126	10.9544919993
127	10.9529367778
128	10.9513829283
129	10.9498302
130	10.9482786966
131	10.9467284958
132	10.9451795555
133	10.9436318674
134	10.9420853686
135	10.9405402066
136	10.9389963046
137	10.9374535706
138	10.9359119882
139	10.9343716681
140	10.9328325794
141	10.9312947928
142	10.9297581672
143	10.928222694
144	10.926688501
145	10.9251555666
146	10.9236238301
147	10.9220932552
148	10.9205638939
149	10.9190358547
150	10.917508768
151	10.9159830382
152	10.9144584902
153	10.9129351363
154	10.9114130999
155	10.9098921866
156	10.9083725892
157	10.9068542024
158	10.9053368881
159	10.9038208442
160	10.9023060719
161	10.9007923577
162	10.8992799423
163	10.8977686074
164	10.8962585923
165	10.8947497551
166	10.8932420326
167	10.891735603
168	10.8902302932
169	10.8887261658
170	10.887223308
171	10.8857215914
172	10.8842209626
173	10.8827215228
174	10.8812234055
175	10.8797263184
176	10.8782304745
177	10.8767356996
178	10.8752422793
179	10.8737500445
180	10.8722587883
181	10.8707688083
182	10.8692800418
183	10.8677924526
184	10.8663059861
185	10.8648205715
186	10.863336543
187	10.8618535248
188	10.8603716449
189	10.8588910791
190	10.8574115988
191	10.8559332262
192	10.8544561197
193	10.8529801288
194	10.8515052345
195	10.8500315147
196	10.8485588671
197	10.8470874759
198	10.8456173181
199	10.8441483333
200	10.8426803974
201	10.8412136334
202	10.8397480059
203	10.8382834612
204	10.836820098
205	10.8353578454
206	10.8338966767
207	10.8324368113
208	10.8309781052
209	10.8295205194
210	10.8280639443
211	10.8266086658
212	10.8251543741
213	10.8237013475
